M [M_sun]	stat_err M	sys_err M	R [km]	stat_err R	sys_err R	stability
1.043205e+02	2.634016e+00	3.200000e-03	1.338770e+05	4.230826e+03	2.400000e+00	1
1.083504e+02	2.758173e+00	3.200000e-03	1.310092e+05	4.148560e+03	2.300000e+00	1
1.124343e+02	2.886777e+00	3.300000e-03	1.281875e+05	4.067622e+03	2.300000e+00	1
1.165651e+02	3.019792e+00	3.300000e-03	1.254111e+05	3.987976e+03	2.100000e+00	1
1.207356e+02	3.157178e+00	3.300000e-03	1.226792e+05	3.909578e+03	2.200000e+00	1
1.249380e+02	3.298826e+00	3.300000e-03	1.199914e+05	3.832403e+03	2.100000e+00	1
1.291646e+02	3.444629e+00	3.400000e-03	1.173469e+05	3.756420e+03	2.100000e+00	1
1.334072e+02	3.594422e+00	3.400000e-03	1.147451e+05	3.681604e+03	2.100000e+00	1
1.376576e+02	3.748018e+00	3.300000e-03	1.121855e+05	3.607914e+03	2.100000e+00	1
1.419078e+02	3.905199e+00	3.400000e-03	1.096676e+05	3.535339e+03	2.000000e+00	1
1.461493e+02	4.065714e+00	3.300000e-03	1.071908e+05	3.463845e+03	1.900000e+00	1
1.503741e+02	4.229274e+00	3.300000e-03	1.047546e+05	3.393419e+03	1.900000e+00	1
1.545740e+02	4.395583e+00	3.300000e-03	1.023586e+05	3.324022e+03	2.000000e+00	1
1.587412e+02	4.564283e+00	3.300000e-03	1.000025e+05	3.255655e+03	1.900000e+00	1
1.628679e+02	4.735047e+00	3.300000e-03	9.768567e+04	3.188291e+03	1.880000e+00	1
1.669466e+02	4.907501e+00	3.200000e-03	9.540783e+04	3.121923e+03	1.740000e+00	1
1.709703e+02	5.081235e+00	3.200000e-03	9.316846e+04	3.056512e+03	1.740000e+00	1
1.749319e+02	5.255870e+00	3.100000e-03	9.096734e+04	2.992068e+03	1.660000e+00	1
1.788251e+02	5.430997e+00	3.100000e-03	8.880396e+04	2.928575e+03	1.670000e+00	1
1.826436e+02	5.606215e+00	3.000000e-03	8.667804e+04	2.866005e+03	1.670000e+00	1
1.863819e+02	5.781105e+00	2.900000e-03	8.458928e+04	2.804375e+03	1.670000e+00	1
1.900346e+02	5.955281e+00	2.800000e-03	8.253726e+04	2.743644e+03	1.590000e+00	1
1.935969e+02	6.128333e+00	2.800000e-03	8.052167e+04	2.683831e+03	1.600000e+00	1
1.970642e+02	6.299868e+00	2.700000e-03	7.854216e+04	2.624913e+03	1.600000e+00	1
2.004327e+02	6.469539e+00	2.600000e-03	7.659844e+04	2.566882e+03	1.600000e+00	1
2.036987e+02	6.636959e+00	2.500000e-03	7.469022e+04	2.509737e+03	1.520000e+00	1
2.068592e+02	6.801814e+00	2.500000e-03	7.281706e+04	2.453471e+03	1.450000e+00	1
2.099113e+02	6.963757e+00	2.400000e-03	7.097868e+04	2.398067e+03	1.450000e+00	1
2.128528e+02	7.122488e+00	2.300000e-03	6.917478e+04	2.343528e+03	1.450000e+00	1
2.156818e+02	7.277733e+00	2.200000e-03	6.740507e+04	2.289851e+03	1.310000e+00	1
2.183968e+02	7.429216e+00	2.100000e-03	6.566906e+04	2.237028e+03	1.370000e+00	1
2.209965e+02	7.576723e+00	2.000000e-03	6.396665e+04	2.185049e+03	1.310000e+00	1
2.234801e+02	7.720004e+00	1.900000e-03	6.229736e+04	2.133906e+03	1.300000e+00	1
2.258471e+02	7.858882e+00	1.800000e-03	6.066088e+04	2.083599e+03	1.300000e+00	1
2.280974e+02	7.993180e+00	1.800000e-03	5.905693e+04	2.034123e+03	1.230000e+00	1
2.302308e+02	8.122745e+00	1.600000e-03	5.748515e+04	1.985467e+03	1.230000e+00	1
2.322478e+02	8.247452e+00	1.500000e-03	5.594517e+04	1.937636e+03	1.230000e+00	1
2.341489e+02	8.367162e+00	1.400000e-03	5.443670e+04	1.890615e+03	1.230000e+00	1
2.359349e+02	8.481825e+00	1.400000e-03	5.295939e+04	1.844395e+03	1.150000e+00	1
2.376067e+02	8.591334e+00	1.300000e-03	5.151293e+04	1.798990e+03	1.160000e+00	1
2.391654e+02	8.695642e+00	1.200000e-03	5.009691e+04	1.754370e+03	1.080000e+00	1
2.406123e+02	8.794711e+00	1.100000e-03	4.871102e+04	1.710547e+03	1.090000e+00	1
2.419487e+02	8.888516e+00	1.000000e-03	4.735491e+04	1.667509e+03	1.080000e+00	1
2.431763e+02	8.977035e+00	1.000000e-03	4.602828e+04	1.625246e+03	1.010000e+00	1
2.442965e+02	9.060284e+00	9.000000e-04	4.473070e+04	1.583758e+03	1.020000e+00	1
2.453111e+02	9.138267e+00	8.000000e-04	4.346182e+04	1.543038e+03	1.010000e+00	1
2.462217e+02	9.211019e+00	7.000000e-04	4.222140e+04	1.503079e+03	9.400000e-01	1
2.470302e+02	9.278567e+00	6.000000e-04	4.100895e+04	1.463872e+03	9.400000e-01	1
2.477384e+02	9.340957e+00	5.000000e-04	3.982417e+04	1.425413e+03	9.400000e-01	1
2.483480e+02	9.398240e+00	4.000000e-04	3.866670e+04	1.387709e+03	8.700000e-01	1
2.488610e+02	9.450472e+00	4.000000e-04	3.753619e+04	1.350733e+03	8.700000e-01	1
2.492791e+02	9.497723e+00	3.000000e-04	3.643226e+04	1.314488e+03	8.700000e-01	1
2.496042e+02	9.540055e+00	2.000000e-04	3.535448e+04	1.278961e+03	8.700000e-01	1
2.498381e+02	9.577543e+00	2.000000e-04	3.430264e+04	1.244162e+03	8.000000e-01	1
2.499824e+02	9.610258e+00	1.000000e-04	3.327623e+04	1.210072e+03	8.000000e-01	1
2.500390e+02	9.638304e+00	0.000000e+00	3.227496e+04	1.176684e+03	7.900000e-01	1
2.500094e+02	9.661730e+00	1.000000e-04	3.129846e+04	1.143995e+03	8.000000e-01	0
2.498955e+02	9.680636e+00	1.000000e-04	3.034631e+04	1.111997e+03	7.200000e-01	0
2.496986e+02	9.695104e+00	2.000000e-04	2.941813e+04	1.080690e+03	7.200000e-01	0
2.494204e+02	9.705225e+00	2.000000e-04	2.851364e+04	1.050055e+03	6.600000e-01	0
2.490623e+02	9.711073e+00	3.000000e-04	2.763234e+04	1.020090e+03	6.500000e-01	0
2.486256e+02	9.712734e+00	4.000000e-04	2.677393e+04	9.907895e+02	6.500000e-01	0
